Period,Revenue,Sales_quantity,Average_cost
1/1/2021,16010072.12,12729,1257.763541
2/1/2021,15807587.45,11636,1358.507
3/1/2021,22047146.02,15922,1384.697024
4/1/2021,18814583.29,15227,1235.606705
5/1/2021,14021479.61,8620,1626.621765
6/1/2021,16783928.52,13160,1275.374508
7/1/2021,19161892.19,17254,1110.576805
8/1/2021,15204984.3,8642,1759.42887
9/1/2021,20603939.98,16144,1276.259909
10/1/2021,20992874.78,18135,1157.588904
11/1/2021,14993369.66,10841,1383.024597
12/1/2021,27791807.64,22113,1256.808558
1/1/2022,28601586.5,15365,1861.476505
2/1/2022,22367074.07,13153,1700.530226
3/1/2022,29738608.57,18339,1621.604699
4/1/2022,28351007.94,13909,2038.321083
5/1/2022,15264603.73,8553,1784.707557
6/1/2022,24385658.08,15101,1614.837301
7/1/2022,29486517.07,15695,1878.720425
8/1/2022,15270117.26,8314,1836.675157
9/1/2022,36141027.56,17764,2034.509545
10/1/2022,27915143.66,18969,1471.61915
11/1/2022,21272049.35,13433,1583.566541
12/1/2022,42014159.88,27029,1554.410444
1/1/2023,36007380.67,16889,2132.001934
2/1/2023,30396775.38,15864,1916.085185
3/1/2023,47678130.73,22786,2092.43091
4/1/2023,27013964.73,17910,1508.317405
5/1/2023,24948844.7,10777,2315.008323
6/1/2023,31101345.54,18799,1654.414891
7/1/2023,33848822.23,17899,1891.101303
8/1/2023,16454666.96,9649,1705.323552
9/1/2023,31650092.65,20159,1570.02295
10/1/2023,31572205.62,19519,1617.511431
11/1/2023,22446371.03,15360,1461.35228
12/1/2023,44966125.77,30833,1458.376602
1/1/2024,44067520.86,19812,2224.284315
2/1/2024,36020287.16,18424,1955.074205
3/1/2024,46995990.41,29004,1620.3279
4/1/2024,35536487.68,22033,1612.875581
5/1/2024,29699599.18,14959,1985.400039
6/1/2024,33261065.39,23067,1441.932865
7/1/2024,35826534.91,18397,1947.411801
8/1/2024,23268655.21,12045,1931.810312
9/1/2024,35423489.85,23358,1516.546359
10/1/2024,39831565.7,22644,1759.033991
11/1/2024,32999145.21,19765,1669.574764
12/1/2024,47221828.2,33207,1422.044394
1/1/2025,36459960.09,24096,1513.112554
2/1/2025,36546498.66,21624,1690.089653
3/1/2025,54198706.72,33379,1623.736682
4/1/2025,32743989.61,22265,1470.648534
5/1/2025,32531657.54,16967,1917.348827
6/1/2025,47709701.63,24958,1911.599553
7/1/2025,45992141.57,21917,2098.46884
8/1/2025,36933665.02,14431,2559.328184
9/1/2025,48526260.13,23253,2086.881698
10/1/2025,44160416.18,26603,1659.978806
11/1/2025,36374956.49,21987,1654.384704
12/1/2025,58756473.66,38069,1543.420464
